iter	Passed	Remaining
411	3515	5016
412	3519	5002
413	3528	4994
414	3535	4984
415	3546	4978
416	3552	4967
417	3557	4953
418	3560	4937
419	3570	4930
420	3576	4918
421	3579	4902
422	3582	4886
423	3586	4871
424	3590	4857
425	3594	4842
426	3598	4828
427	3601	4813
428	3604	4797
429	3608	4783
430	3611	4767
431	3614	4752
432	3618	4737
433	3621	4722
434	3624	4707
435	3627	4692
436	3630	4676
437	3633	4661
438	3636	4647
439	3639	4631
440	3641	4616
441	3644	4601
442	3648	4587
443	3651	4572
444	3654	4558
445	3658	4543
446	3660	4528
447	3663	4513
448	3666	4499
449	3669	4484
450	3674	4473
451	3678	4459
452	3681	4445
453	3684	4431
454	3688	4417
455	3691	4404
456	3696	4391
457	3699	461	3458	3701	462	3729	4325
463	3460	3720	464	3461	3728	465	3462	3733	466	3463	3739	467	3464	3746	468	3465	3753	469	3778	4261
470	3467	3766	471	3793	4243
472	3802	4236
473	3806	4224
474	3814	4216
475	3825	4211
476	3829	4198
477	3835	4188
478	3845	4182
479	3852	4173
480	3855	4159
481	3863	4151
482	3871	4144
483	3879	4135
484	3888	4129
485	3894	4118
486	3901	4110
487	3910	4102
488	3913	4089
489	3925	4085
490	3932	4076
491	3936	4064
492	3941	4052
493	3490	3927	494	3956	4036
495	3967	4031
496	3976	4024
497	3980	4012
498	3989	4005
499	3994	3994
500	4003	3987
501	4008	3976
502	4018	3970
503	4023	3959
504	4027	3947
505	4034	3939
506	4039	3927
507	4044	3917
508	4054	3910
509	4062	3903
510	4069	3894
511	4073	3882
512	4079	3872
513	4087	3864
514	4094	3855
515	4100	3846
516	4106	3836
517	4112	3826
518	4117	3816
519	4516	4104	520	4130	3797
521	4134	3786
522	4145	3781
523	4153	3773
524	4160	3764
525	4168	3756
526	4175	3747
527	4180	3737
528	4189	3729
529	4196	3721
530	4198	3708
531	4213	3706
532	4224	3701
533	4232	3693
534	4244	3689
535	4251	3680
536	4256	3669
537	4263	3661
538	4273	3655
539	4284	3649
540	4291	3641
541	4297	3631
542	4315	3632
543	4332	3631
544	4348	3630
545	4362	3627
546	4370	3619
547	4381	3614
548	4396	3611
549	4400	3600
550	4404	3588
551	4414	3582
552	4421	3573
553	4430	3566
554	4434	3555
555	4439	3545
556	4442	3532
557	4454	3528
558	4459	3517
559	4466	3509
560	4473	3500
561	4482	3493
562	4491	3485
563	4499	3478
564	4505	3468
565	4513	3460
566	4520	3452
567	4529	3444
568	4533	3434
569	4540	3425
570	4550	3419
571	4559	3411
572	4568	3404
573	4573	3394
574	4580	3385
575	4588	3377
576	4598	3370
577	4604	3361
578	4609	3351
579	4614	3341
580	4622	3333
581	4628	3324
582	4633	3314
583	4641	3306
584	4647	3296
585	4654	3288
586	4665	3282
587	4671	3273
588	4680	3265
589	4684	3255
590	4691	3246
591	4696	3236
592	4703	3228
593	4710	3219
594	4715	3209
595	4720	3199
596	4728	3191
597	4730	3180
598	4732	3168
599	4735	3157
600	4739	3146
601	4598	4729	3166
599	4744	3163
600	4770	3167
601	4785	3164
602	4793	3155
603	4802	3148
604	4814	3143
605	4827	3138
606	4839	3133
607	4855	3130
608	4865	3123
609	4874	3116
610	4881	3107
611	4889	3099
